"quarterly_date","population","national_net_savings","household_net_savings","corporate_net_savings","gross_domestic_income","household_consumption","unemployment_rate","cpi_inflation_indicator","market_interest_rates","gross_private_domestic_investment"
1977-01-01,23591713,15180,13632,4660,219912,418612,7.8,32.8,8.1640625,135625
1977-04-01,23656739,14684,17048,3260,224808,417567,7.8,33.5,7.7,135843
1977-07-01,23725843,13724,13920,3592,229724,424081,8.3,34.2,7.5,133541
1977-10-01,23801445,14136,15024,4984,235960,428064,8.5,34.9,7.5,132462
1978-01-01,23849503,13512,19168,3892,241320,431165,8.5,35.7,7.63076923076923,128906
1978-04-01,23903687,14992,17984,3504,248684,434052,8.4,36.6,8.49230769230769,132350
1978-07-01,23963203,15232,17416,4576,255204,436086,8.4,37.1,8.97692307692308,135470
1978-10-01,24025447,15124,18660,3336,263092,437306,8.3,37.9,10.4423076923077,140410
1979-01-01,24071889,16032,17660,4588,271400,443397,7.9,39,11.2346153846154,143731
1979-04-01,24128180,21604,22516,6492,284172,443408,7.4,39.9,11.25,155649
1979-07-01,24201544,23816,21352,8400,292920,444640,7,40.7,11.75,155341
1979-10-01,24279044,24988,24116,7300,301940,445758,7.2,41.6,13.6590909090909,161398
1980-01-01,24345365,24016,24260,6608,309784,448668,7.6,42.6,14.1441538461538,154207
1980-04-01,24418295,23932,26428,7152,317228,446922,7.7,43.9,13.622,155300
1980-07-01,24515667,19058,25508,5196,324764,454577,7.3,45,10.5410606060606,142987
1980-10-01,24603534,23898,28576,1832,339352,457153,7.3,46.2,13.5851515151515,152662
1981-01-01,24665355,26368,33024,-3040,355992,457893,7.4,48,17.03375,170323
1981-04-01,24732826,28948,35864,-4408,367992,457459,7.2,49.5,18.2427692307692,181224
1981-07-01,24819915,23060,37716,-9260,372820,455028,8.1,50.7,20.1527272727273,168385
1981-10-01,24920120,22204,39896,-11188,376628,456126,8.7,51.8,16.7662121212121,155029
1982-01-01,24979229,19876,49128,-19928,383004,449363,9.3,53.5,14.85140625,146258
1982-04-01,25042069,13652,49020,-18436,386516,445804,11.1,55.1,15.6296923076923,124977
1982-07-01,25116942,9452,47296,-17264,389560,444050,12.4,55.9,14.8209090909091,113609
1982-10-01,25193538,6916,43076,-10880,393644,442498,13.1,56.6,11.2009090909091,117474
1983-01-01,25242830,13848,38796,-4404,403236,448765,12.5,57.4,9.64734375,129512
1983-04-01,25300372,14848,34720,-2100,415804,454367,12.4,58.1,9.44369230769231,130345
1983-07-01,25366451,18220,47496,1644,428960,459834,11.4,58.7,9.52893939393939,140923
1983-10-01,25434150,19836,39628,5052,437264,464845,11.3,59.2,9.65753846153846,145326
1984-01-01,25482358,20648,36788,7008,447840,469405,11.3,60,10.1398461538462,151706
1984-04-01,25539861,24516,44864,8828,459552,474285,11.3,60.6,11.3753846153846,156752
1984-07-01,25607053,26572,47572,7188,465180,474825,11.8,60.9,12.6078461538462,152308
1984-10-01,25677668,26896,46736,9220,475372,483051,11.1,61.4,11.2875757575758,149174
1985-01-01,25721170,24364,43772,12276,486096,488708,11,62.2,10.55203125,156876
1985-04-01,25774717,27296,51044,13640,495352,493136,10.7,63,9.90538461538462,161688
1985-07-01,25842116,25888,42632,13424,503872,502914,10.2,63.4,9.31272727272727,171437
1985-10-01,25914797,26380,42468,17700,514788,508090,10.1,64.1,9.02939393939394,170887
1986-01-01,25962414,21252,42152,5428,518612,507331,9.8,64.9,10.88421875,176822
1986-04-01,26019615,22044,42940,9992,523844,513420,9.6,65.4,9.02230769230769,174653
1986-07-01,26100278,18956,36832,13016,530220,520555,9.5,66,8.56939393939394,166799
1986-10-01,26187639,12544,38132,3948,533844,520818,9.5,66.8,8.5230303030303,164065
1987-01-01,26256140,23852,39684,16232,552484,526116,9.4,67.5,7.67109375,171583
1987-04-01,26346370,27360,35128,18844,567420,534657,8.9,68.5,8.16246153846154,178271
1987-07-01,26446601,33828,37556,20664,581680,539405,8.4,69,9.10439393939394,191496
1987-10-01,26542370,34940,36888,20808,595760,545262,8,69.6,8.78969696969697,206163
1988-01-01,26602328,42896,33772,28620,610948,548587,7.8,70.4,8.63415384615385,210230
1988-04-01,26679165,37792,40252,16628,621168,556475,7.6,71.2,9.17553846153846,204967
1988-07-01,26791747,40104,47056,15108,631392,559961,7.8,71.8,9.8980303030303,212680
1988-10-01,26932655,36396,49088,6964,644068,567002,7.5,72.3,10.8315384615385,207492
1989-01-01,27032356,37252,51124,9684,656160,571085,7.5,73.6,11.7556923076923,213280
1989-04-01,27147776,35812,49968,8380,669792,578438,7.5,74.9,12.4381538461538,222049
1989-07-01,27276781,38488,46836,14592,679132,576517,7.3,75.6,12.3830769230769,222340
